cid,tid,beg,end,role,sack,win
5,21,2016,,'manager',,74.7
6,22,2008,2012,'manager',f,76.32
6,9,2016,,'manager',,60.53
4,4,2016,,'manager',,78.7
3,4,2004,2007,'manager',true,67.0
3,21,2010,2013,'manager',false,71.9
3,4,2013,2015,'manager',true,58.8
3,10,2016,,'manager',,57.8
2,2,2012,,'assistant manager',,
1,2,1996,,'manager',,57.5
