t1,t2,name
2,4,'London derby'
2,17,'North London derby'
4,17,'London derby'
3,19,'West Midlands derby'
6,8,'Merseyside derby'
8,10,'Northwest derby'
9,10,'Manchester derby'
2,10,
4,10,
11,15,'Tyne-Wear derby'
21,22,'El Clásico'
